Designator,Mid X,Mid Y,Layer,Rotation
C1001,42.82,-42.33,T,0.00
C1001,112.82,-103.83,T,0.00
C1001,112.82,-42.33,T,0.00
C1001,42.82,-103.83,T,0.00
C1002,100.00,-90.75,T,180.00
C1002,30.00,-29.25,T,180.00
C1002,30.00,-90.75,T,180.00
C1002,100.00,-29.25,T,180.00
C1003,30.05,-104.15,T,180.00
C1003,100.05,-104.15,T,180.00
C1003,100.05,-42.65,T,180.00
C1003,30.05,-42.65,T,180.00
C1004,118.30,-46.26,T,0.00
C1004,48.30,-107.75,T,0.00
C1004,118.30,-107.75,T,0.00
C1004,48.30,-46.26,T,0.00
C1005,105.50,-107.75,T,0.00
C1005,35.50,-107.75,T,0.00
C1005,35.50,-46.26,T,0.00
C1005,105.50,-46.26,T,0.00
C1006,92.70,-107.80,T,0.00
C1006,92.70,-46.30,T,0.00
C1006,22.70,-107.80,T,0.00
C1006,22.70,-46.30,T,0.00
C201,130.90,-87.60,T,90.00
C201,130.90,-26.10,T,90.00
C201,60.90,-87.60,T,90.00
C201,60.90,-26.10,T,90.00
C202,68.70,-93.60,T,180.00
C202,138.70,-93.60,T,180.00
C202,138.70,-32.10,T,180.00
C202,68.70,-32.10,T,180.00
C203,61.67,-22.20,T,180.00
C203,131.68,-22.20,T,180.00
C203,131.68,-83.70,T,180.00
C203,61.67,-83.70,T,180.00
C204,129.00,-80.60,T,90.00
C204,59.00,-19.10,T,90.00
C204,59.00,-80.60,T,90.00
C204,129.00,-19.10,T,90.00
C205,62.30,-19.10,T,90.00
C205,132.30,-80.60,T,90.00
C205,62.30,-80.60,T,90.00
C205,132.30,-19.10,T,90.00
C301,128.40,-110.60,T,0.00
C301,58.40,-49.10,T,0.00
C301,58.40,-110.60,T,0.00
C301,128.40,-49.10,T,0.00
C302,58.40,-107.90,T,180.00
C302,128.40,-107.90,T,180.00
C302,128.40,-46.40,T,180.00
C302,58.40,-46.40,T,180.00
C303,61.55,-45.00,T,90.00
C303,131.55,-45.00,T,90.00
C303,131.55,-106.50,T,90.00
C303,61.55,-106.50,T,90.00
C304,68.80,-50.50,T,0.00
C304,68.80,-112.00,T,0.00
C304,138.80,-50.50,T,0.00
C304,138.80,-112.00,T,0.00
C305,127.30,-104.20,T,90.00
C305,57.30,-104.20,T,90.00
C305,127.30,-42.70,T,90.00
C305,57.30,-42.70,T,90.00
C306,53.60,-45.50,T,0.00
C306,53.60,-107.00,T,0.00
C306,123.60,-107.00,T,0.00
C306,123.60,-45.50,T,0.00
C307,134.00,-51.50,T,270.00
C307,64.00,-113.00,T,270.00
C307,64.00,-51.50,T,270.00
C307,134.00,-113.00,T,270.00
C308,131.65,-40.60,T,180.00
C308,61.65,-40.60,T,180.00
C308,131.65,-102.10,T,180.00
C308,61.65,-102.10,T,180.00
C309,128.70,-99.00,T,270.00
C309,58.70,-37.50,T,270.00
C309,128.70,-37.50,T,270.00
C309,58.70,-99.00,T,270.00
C310,62.00,-37.50,T,270.00
C310,62.00,-99.00,T,270.00
C310,132.00,-37.50,T,270.00
C310,132.00,-99.00,T,270.00
C311,70.30,-113.40,T,270.00
C311,140.30,-51.90,T,270.00
C311,140.30,-113.40,T,270.00
C311,70.30,-51.90,T,270.00
C312,135.20,-50.10,T,270.00
C312,135.20,-111.60,T,270.00
C312,65.20,-50.10,T,270.00
C312,65.20,-111.60,T,270.00
C401,85.60,-49.00,T,90.00
C401,15.60,-110.50,T,90.00
C401,85.60,-110.50,T,90.00
C401,15.60,-49.00,T,90.00
C402,79.30,-55.20,T,270.00
C402,79.30,-116.70,T,270.00
C402,9.30,-55.20,T,270.00
C402,9.30,-116.70,T,270.00
C403,40.90,-46.31,T,270.00
C403,40.90,-107.81,T,270.00
C403,110.90,-46.31,T,270.00
C403,110.90,-107.81,T,270.00
C404,11.10,-111.50,T,0.00
C404,81.10,-111.50,T,0.00
C404,81.10,-50.00,T,0.00
C404,11.10,-50.00,T,0.00
C405,9.20,-110.10,T,0.00
C405,9.20,-48.60,T,0.00
C405,79.20,-48.60,T,0.00
C405,79.20,-110.10,T,0.00
C406,13.10,-88.70,T,0.00
